#{"t_start": 1759916674.239432, "env_id": "None"}
r,l,t
42.800201,18,1.77745
839.878021,383,5.359897
20.850093,13,5.382356
998.688526,500,6.248844
325.532949,160,6.549264
643.611377,291,7.038399
183.201247,69,7.155767
151.459661,76,7.28682
132.549588,63,7.393679
333.373478,170,7.682091
1023.085339,500,10.66617
231.999414,87,10.830328
270.798947,125,11.066192
514.395882,190,11.429219
103.536309,55,11.531349
530.802894,196,11.946073
20.623464,10,11.966768
423.665443,157,12.303911
17.89044,11,12.327417
50.814566,26,12.37621
74.866389,40,12.454364
368.888708,188,12.946983
261.121712,121,13.174676
934.824915,457,14.094208
1114.105546,500,16.976847
1034.969827,500,17.873546
1114.739474,500,18.978783
684.993728,346,19.720235
107.696052,57,19.837765
1335.977254,488,22.74482
406.678725,185,23.091398
136.408112,52,23.186181
1031.825807,500,24.144177
1025.431957,500,25.138329
593.337639,218,25.551174
304.276889,139,25.812845
1116.456845,500,28.947961
1113.780757,500,29.871133
274.387544,127,30.126896
1373.147248,500,31.154308
1026.74301,500,32.077932
1029.432298,500,35.135792
1112.967922,500,36.079335
369.077607,168,36.455316
999.316549,500,40.362098
1114.643338,500,41.287754
1031.843061,500,44.013807
1015.289978,500,44.934173
998.737776,500,45.820287
1011.159429,459,46.665384
583.37139,215,48.888911
51.730156,29,48.940804
484.960223,222,49.336239
709.413626,261,49.799348
1107.235288,500,50.70219
1019.524288,500,51.59256
999.27015,500,52.513068
1115.56482,500,55.135705
1000.098766,500,56.105795
1114.770703,500,57.050595
999.834711,500,58.020052
713.090374,347,60.414224
384.332506,175,60.729929
548.417884,278,61.272404
240.275926,119,61.503474
862.759911,389,62.260882
1115.963769,500,63.188863
346.927149,177,63.541398
1375.438328,500,66.203654
1114.186208,500,67.167909
1374.760893,500,68.117319
999.612602,500,69.101647
566.099896,257,71.811857
1375.232405,500,75.687828
1116.8439,500,76.669502
1278.106967,467,77.554726
885.007724,324,78.178735
319.331649,163,78.505134
999.139273,500,81.890712
1114.780892,500,82.862571
1027.217841,500,83.80667
1059.69791,388,84.55129
1035.430577,500,87.237067
1035.939501,500,88.238027
1117.038757,500,89.177968
734.766684,358,89.87615
1032.764764,500,92.858935
1375.010466,500,93.821238
1029.021593,500,94.78422
1374.07522,500,95.754643
1035.873827,500,98.92904
998.552117,500,99.892446
1374.63956,500,100.843732
1373.993952,500,101.818261
578.139197,213,102.239697
1022.870784,500,104.941435
1111.40681,500,105.919519
1033.585281,500,106.855822
1018.089475,500,110.768041
1115.739782,500,113.674898
999.712909,500,114.644635
1371.294853,500,115.586569
1110.15675,500,116.55816
999.364348,500,119.273653
1026.260475,500,120.239289
998.38661,500,121.189586
745.356474,274,121.719379
1110.182929,500,122.687937
1018.476202,500,125.493272
1113.466277,500,126.466104
1373.9061,500,127.423386
1371.883498,500,128.3883
1025.747196,500,131.117973
1000.048931,500,132.077179
999.594699,500,133.031639
999.868515,500,133.999474
1116.470085,500,136.669575
1034.586743,500,137.57595
1111.008795,500,138.533274
805.645634,296,139.126496
1032.79151,500,141.789409
1033.044168,500,145.623082
1113.502663,500,146.551281
1373.483564,500,147.524072
999.32873,500,148.474911
1373.351858,500,151.116368
353.332029,180,151.442969
1375.565214,500,152.385868
999.055439,500,153.34972
997.685272,500,156.020369
1025.564213,500,156.917366
1110.612766,500,157.868252
1032.551487,500,158.828689
999.217551,500,161.479706
1115.663702,500,162.37138
1024.576928,500,163.321182
